"service_id","date","exception_type"
"1_1_20260831","20260921","2"
"1_3_20260831","20260921","1"
"1_1_20260831","20260922","2"
"1_3_20260831","20260922","1"
"1_1_20260831","20260923","2"
"1_3_20260831","20260923","1"
"1_1_20260831","20261012","2"
"1_3_20260831","20261012","1"
"1_1_20260831","20261103","2"
"1_3_20260831","20261103","1"
"1_1_20260831","20261123","2"
"1_3_20260831","20261123","1"
"1_1_20260831","20261229","2"
"1_2_20260831","20261229","1"
"1_1_20260831","20261230","2"
"1_4_20260831","20261230","1"
"1_1_20260831","20261231","2"
"1_4_20260831","20261231","1"
